OBJECTID,LAD17CD,LAD17NM,LAD17NMW,BNG_E,BNG_N,LONG,LAT,Shape_Leng,Shape__Area,Shape__Length
86,E07000046,Torridge, ,244206,114405,-4.21731,50.908,262648.024938,985339300.87574,262648.024938292
87,E07000047,West Devon, ,256379,86998,-4.03357,50.6649,215935.380337,1161059710.66775,215935.380336742
88,E07000048,Christchurch, ,413093,96313,-1.8157,50.7663,51950.8744188,49949524.1162491,51950.87441878
89,E07000049,East Dorset, ,401685,109966,-1.9774,50.8892,125189.50654,355460103.000679,125189.506539525
90,E07000050,North Dorset, ,381794,113407,-2.26037,50.9198,143444.735176,608406787.303741,143444.735175803
91,E07000051,Purbeck, ,391183,88321,-2.12618,50.6945,180947.774901,404613339.529491,180947.774901331
92,E07000052,West Dorset, ,357765,99663,-2.60061,50.795,253298.265747,1083352966.13603,253298.265746629
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45134,50.6324,64623.4298481,42313376.0040874,64623.4298480637
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.7741,32036.4604955,44376144.6035194,32036.4604954842
95,E07000062,Hastings, ,581599,110745,0.579429,50.8677,29442.4284099,30375202.0395164,29442.4284099285
96,E07000063,Lewes, ,541474,105685,0.007671,50.8334,148933.619583,292031362.49073,148933.619583065
97,E07000064,Rother, ,578730,119663,0.543064,50.9487,156926.171976,512515153.930756,156926.17197558
98,E07000065,Wealden, ,555048,117173,0.205153,50.9332,190114.572755,834585285.861626,190114.572755341
99,E07000066,Basildon, ,571548,190848,0.475055,51.5904,62490.5487178,110466566.63826,62490.5487178436
100,E07000067,Braintree, ,577253,227335,0.575911,51.9163,144949.886796,611511765.195343,144949.886796039
101,E07000068,Brentwood, ,558560,196070,0.290091,51.6411,65041.6259546,153031159.117714,65041.6259546226
102,E07000069,Castle Point, ,579490,187921,0.588084,51.5616,56510.8833154,44306141.3059387,56510.8833154057
103,E07000070,Chelmsford, ,572115,206972,0.491163,51.735,108985.762782,342305558.922859,108985.762781631
104,E07000071,Colchester, ,596944,223692,0.859776,51.877,173509.520975,331625270.291695,173509.520975098
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.7128,110167.385923,338953315.116356,110167.385923274
106,E07000073,Harlow, ,545276,209589,0.103888,51.7661,24757.0370603,30520204.7328949,24757.037060276
107,E07000074,Maldon, ,591460,212199,0.773857,51.7757,243180.65376,356562505.524773,243180.653760447
108,E07000075,Rochford, ,585981,191420,0.683473,51.5909,143946.112593,168829125.189087,143946.112593301
109,E07000076,Tendring, ,614203,222163,1.10918,51.8569,182269.118323,336502212.172668,182269.118322522
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.9359,149901.759756,640245824.869843,149901.759755982
111,E07000078,Cheltenham, ,394925,222232,-2.07515,51.8986,33217.3359326,46496280.9309769,33217.3359325524
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.7725,296111.55801,1164247620.71389,296111.558010489
113,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.8125,172276.213882,525611208.120712,172276.213882444
114,E07000081,Gloucester, ,384071,216449,-2.23263,51.8464,30568.4672012,40501677.1747055,30568.4672011701
115,E07000082,Stroud, ,378806,202410,-2.3082,51.72,151942.388553,460933212.592781,151942.388553258
116,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.9348,185926.478538,414767930.139297,185926.47853814
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.2594,129024.226669,633747548.422981,129024.226669235
118,E07000085,East Hampshire, ,474404,129237,-0.93971,51.0577,131232.578914,514673323.083481,131232.578913687
119,E07000086,Eastleigh, ,447202,116802,-1.32943,50.9487,59589.8729295,79505202.782711,59589.8729295287
120,E07000087,Fareham, ,453774,106324,-1.23742,50.8539,52450.7054835,74569349.1637077,52450.7054834851
121,E07000088,Gosport, ,458773,101094,-1.16725,50.8064,32255.1893801,25183918.7595139,32255.1893800879
122,E07000089,Hart, ,477985,154240,-0.88321,51.282,70273.2541217,215016887.247032,70273.254121702
123,E07000090,Havant, ,470177,108563,-1.004,50.8723,74351.9169963,55343285.7360382,74351.9169963122
124,E07000091,New Forest, ,428999,106521,-1.58936,50.8575,205954.875812,753089596.175797,205954.875812005
125,E07000092,Rushmoor, ,486022,153944,-0.76807,51.2781,28059.1911497,38953501.2161942,28059.1911497169
126,E07000093,Test Valley, ,434930,137329,-1.50214,51.1342,171478.578177,628392100.848492,171478.578176516
127,E07000094,Winchester, ,453115,125901,-1.24393,51.03,154912.616549,660528974.560787,154912.616549309
128,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,35975.4940811,51356683.3599854,35975.4940810535
129,E07000096,Dacorum, ,500084,208745,-0.55098,51.7685,101907.179197,211576595.093208,101907.179196971
130,E07000098,Hertsmere, ,519774,199352,-0.26899,51.6802,54885.6888568,100508254.443626,54885.6888568385
131,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.9574,151944.396059,373809470.834557,151944.396058611
132,E07000102,Three Rivers, ,507313,196418,-0.45005,51.6563,68506.2649341,88944088.2190857,68506.2649340969
133,E07000103,Watford, ,510441,198197,-0.40429,51.6717,23378.1125153,21449369.2261429,23378.1125152806
134,E07000105,Ashford, ,597640,140644,0.823374,51.131,133496.881575,580811620.371758,133496.881574956
135,E07000106,Canterbury, ,616026,158096,1.09626,51.281,119130.853749,307972908.735939,119130.853749346
136,E07000107,Dartford, ,556167,172917,0.245276,51.4337,49476.8432639,72885419.5032501,49476.8432638944
137,E07000108,Dover, ,628967,150940,1.27693,51.2117,123989.276258,314388445.094223,123989.276257639
138,E07000109,Gravesham, ,566969,169115,0.398744,51.3965,53786.1704312,98997194.4317856,53786.1704311502
139,E07000110,Maidstone, ,580489,151670,0.584061,51.2357,109562.428247,393498961.330917,109562.42824682
140,E07000111,Sevenoaks, ,552776,155218,0.188936,51.2756,118868.933282,369679503.610077,118868.933282495
141,E07000112,Shepway, ,610318,134597,1.0008,51.0722,136734.632119,357506326.965141,136734.63211925
142,E07000113,Swale, ,593761,161976,0.77953,51.3239,206426.093946,373614608.063667,206426.093946189
143,E07000114,Thanet, ,631844,166753,1.3283,51.3525,49872.9030118,102882401.057205,49872.9030118121
144,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.2606,117317.635623,239883646.868286,117317.635623093
145,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.1025,126470.913954,332066717.743935,126470.913953716
146,E07000117,Burnley, ,384886,430882,-2.2308,53.7741,52540.5857483,111019834.384857,52540.5857483029
147,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,89800.7482795,202293851.482376,89800.748279491
148,E07000119,Fylde, ,339562,433812,-2.91902,53.7971,89456.3146451,164712228.994568,89456.3146451128
149,E07000120,Hyndburn, ,374407,428971,-2.38964,53.7565,38630.9895955,73163670.2554932,38630.9895955113
150,E07000121,Lancaster, ,356896,464988,-2.6603,54.079,240318.657105,574697323.291611,240318.657105364
151,E07000122,Pendle, ,387637,443368,-2.18957,53.8864,72089.5577783,169252551.25972,72089.5577782519
152,E07000123,Preston, ,352820,436429,-2.71817,53.822,72255.7073108,142382808.837326,72255.7073107663
153,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,137669.153073,584980099.601761,137669.153073347
154,E07000125,Rossendale, ,382827,420955,-2.26149,53.6848,65615.3693816,137243852.633942,65615.3693816405
155,E07000126,South Ribble, ,352016,425840,-2.72873,53.7267,80397.4646197,112532657.526947,80397.4646196987
156,E07000127,West Lancashire, ,342611,413268,-2.86893,53.6128,134797.419883,346071627.341522,134797.419883478
157,E07000128,Wyre, ,347227,445159,-2.80462,53.8999,161149.439249,280360970.054031,161149.43924875
158,E07000129,Blaby, ,454385,297994,-1.19887,52.5771,86056.5848659,130317477.831345,86056.5848658754
159,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,101567.411395,278929456.27684,101567.411395487
160,E07000131,Harborough, ,474549,293875,-0.90229,52.5377,152499.786977,592922742.704002,152499.786976654
161,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.6088,98438.353203,298242892.43055,98438.3532029831
162,E07000133,Melton, ,477328,323472,-0.8544,52.8033,124364.944871,480751923.139572,124364.944870643
163,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,102605.493395,279027633.758553,102605.493395136
164,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.5887,24729.4646174,23185775.8469315,24729.4646173686
165,E07000136,Boston, ,526851,343953,-0.11218,52.9779,139130.354584,364441480.163666,139130.354583843
166,E07000137,East Lindsey, ,534862,376106,0.020549,53.2648,264627.419341,1763865614.45203,264627.419340841
167,E07000138,Lincoln, ,496347,370096,-0.55848,53.2192,30283.8784594,35540927.9717255,30283.8784594201
168,E07000139,North Kesteven, ,502135,354788,-0.4767,53.0806,171405.831828,921880110.267624,171405.831828022
169,E07000140,South Holland, ,532909,322928,-0.03058,52.7876,181792.958898,751070381.834808,181792.958898237
170,E07000141,South Kesteven, ,501406,328986,-0.49565,52.8489,192456.689544,942467370.292709,192456.689543521
171,E07000142,West Lindsey, ,499314,390326,-0.50774,53.4004,232651.491482,1154722439.64017,232651.491482455
172,E07000143,Breckland, ,591015,303330,0.818716,52.5942,219811.035298,1304857251.48607,219811.035297787
173,E07000144,Broadland, ,619865,315909,1.25233,52.6962,182814.901051,552023272.17482,182814.901050758
174,E07000145,Great Yarmouth, ,646760,315882,1.6495,52.6844,124498.280045,173711567.781418,124498.28004538
175,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.533258,52.7128,373473.154751,1435820459.43741,373473.154751246
176,E07000147,North Norfolk, ,611083,330845,1.13219,52.8338,295162.770627,962305508.494141,295162.770626619
177,E07000148,Norwich, ,622355,309773,1.28498,52.6401,47016.9755745,38517206.8016968,47016.9755744802
178,E07000149,South Norfolk, ,628991,295823,1.37325,52.5122,230227.601309,906665055.957336,230227.601308542
179,E07000150,Corby, ,487862,290681,-0.7069,52.507,56595.192858,79035990.9664001,56595.1928579823
180,E07000151,Daventry, ,467286,268437,-1.01447,52.3099,154594.324463,665202944.202675,154594.324463341
181,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.4791,146440.395186,509599863.974602,146440.395186483
182,E07000153,Kettering, ,483866,282852,-0.76773,52.4372,84167.5765767,235322935.807594,84167.5765766813
183,E07000154,Northampton, ,476495,260539,-0.88121,52.2378,41431.2036092,80597831.3941116,41431.2036091692
184,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.1184,198300.124738,634545898.613113,198300.124737694
185,E07000156,Wellingborough, ,487787,266827,-0.71425,52.2926,62677.0272673,163491650.018669,62677.0272672612
186,E07000163,Craven, ,389513,461989,-2.16168,54.0538,186302.158607,1178385955.02988,186302.158606647
187,E07000164,Hambleton, ,443009,490546,-1.34049,54.3087,272446.34694,1313063451.61354,272446.346939681
188,E07000165,Harrogate, ,427473,464652,-1.58161,54.0771,227761.975672,1308358943.47162,227761.975671614
189,E07000166,Richmondshire, ,401039,495786,-1.98552,54.3576,206884.993491,1317556036.84192,206884.993491268
190,E07000167,Ryedale, ,475590,478890,-0.84277,54.2002,230408.144872,1505277059.60036,230408.144872469
191,E07000168,Scarborough, ,495797,495547,-0.5278,54.3465,217819.108608,817837261.852234,217819.108608402
192,E07000169,Selby, ,457551,426670,-1.12908,53.7333,247578.952235,598399824.498672,247578.952234924
193,E07000170,Ashfield, ,450035,355843,-1.25422,53.0975,61286.5319138,110122768.281967,61286.5319138314
194,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356,146403.782642,637306417.854767,146403.782641527
195,E07000172,Broxtowe, ,449829,341893,-1.25944,52.9721,56576.4559395,80722192.5860748,56576.4559395496
196,E07000173,Gedling, ,459184,347811,-1.11907,53.0243,63014.3612002,119880203.61554,63014.3612001699
197,E07000174,Mansfield, ,455047,363637,-1.17804,53.167,47192.9020779,76060649.9958801,47192.9020779396
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,173614.737535,651088251.149918,173614.737535485
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.9124,111749.124772,408877959.430145,111749.124771953
200,E07000177,Cherwell, ,449301,221201,-1.28506,51.8872,198883.837968,587735565.524254,198883.83796837
201,E07000178,Oxford, ,452277,206368,-1.24405,51.7536,31762.5797919,45411144.6114731,31762.5797918697
202,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.6229,183733.003778,679081422.98645,183733.003777772
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.6544,153766.523983,579879108.010612,153766.523982779
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.8399,141044.632507,714319032.605659,141044.632506749
205,E07000187,Mendip, ,362238,144090,-2.54178,51.1948,177034.376141,739464203.503799,177034.376140972
206,E07000188,Sedgemoor, ,338426,143997,-2.88251,51.1918,220310.631897,563905912.849911,220310.631897216
207,E07000189,South Somerset, ,345633,120798,-2.77588,50.984,210752.745257,958381173.308138,210752.745257349
208,E07000190,Taunton Deane, ,318327,123470,-3.16542,51.0048,158646.575764,463020551.979702,158646.575764491
209,E07000191,West Somerset, ,294768,136702,-3.50494,51.1199,162090.308158,728281396.955238,162090.308158264
210,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.7017,45738.2363606,78903110.016777,45738.2363606163
211,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.8365,156661.607878,390185964.92131,156661.607877634
212,E07000194,Lichfield, ,416283,310967,-1.76049,52.6962,112606.961741,331570250.289505,112606.961741181
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.0034,93484.5467698,211448800.343544,93484.5467698256
214,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.6969,165642.635222,407906940.38633,165642.635221619
215,E07000197,Stafford, ,389001,327836,-2.16475,52.8479,140309.284453,597946208.779099,140309.28445322
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.0692,128258.45854,577099803.238419,128258.458539668
217,E07000199,Tamworth, ,421455,302550,-1.68451,52.6203,27862.885819,31059261.8939438,27862.885819003
218,E07000200,Babergh, ,599994,244657,0.916231,52.0642,156130.734054,595676143.65625,156130.734054475
219,E07000201,Forest Heath, ,572316,273586,0.527606,52.3333,133731.54079,377737215.582123,133731.540790013
